Date,Currency,Mean,Buy,Sell
11/01/2010,AUSTRALIAN $,70.1792,70.0683,70.2901
12/01/2010,US DOLLAR,75.3619,75.2611,75.4628
12/01/2010,STG POUND,121.377,121.204,121.551
12/01/2010,EURO,109.233,109.079,109.388
12/01/2010,SA RAND,10.2335,10.2029,10.2642
12/01/2010,KES/USHS,25.4772,25.3768,25.5776
12/01/2010,KES/TSHS,17.6814,17.6246,17.7382
12/01/2010,AE DIRHAM,20.5181,20.4898,20.5464
12/01/2010,CAN $,72.9657,72.8485,73.0829
12/01/2010,S FRANC,74.0419,73.924,74.1598
12/01/2010,JPY(100),81.7645,81.6457,81.8832
12/01/2010,SW KRONER,10.7006,10.6826,10.7185
12/01/2010,NOR KRONER,13.4009,13.379,13.4228
12/01/2010,DAN KRONER,14.6892,14.6685,14.7098
12/01/2010,IND RUPEE,1.6564,1.6507,1.6622
12/01/2010,HONGKONG $,9.7182,9.7046,9.7319
12/01/2010,SINGAPORE $,54.2368,54.1369,54.3367
12/01/2010,SAUDI RIYAL,20.0957,20.068,20.1234
12/01/2010,CHINESE YUAN,11.0395,11.0239,11.055
12/01/2010,AUSTRALIAN $,70.0829,69.9853,70.1804
13/01/2010,US DOLLAR,75.5258,75.4183,75.6333
13/01/2010,STG POUND,122.191,121.977,122.406
13/01/2010,EURO,109.43,109.26,109.601
13/01/2010,SA RAND,10.1829,10.1604,10.2054
13/01/2010,KES/USHS,25.4749,25.3724,25.5773
13/01/2010,KES/TSHS,17.6828,17.6245,17.741
13/01/2010,AE DIRHAM,20.5624,20.5326,20.5923
13/01/2010,CAN $,72.746,72.6214,72.8706
13/01/2010,S FRANC,74.1575,74.0308,74.2842
13/01/2010,JPY(100),82.8043,82.6669,82.9418
13/01/2010,SW KRONER,10.702,10.6781,10.7258
13/01/2010,NOR KRONER,13.3309,13.3014,13.3604
13/01/2010,DAN KRONER,14.7187,14.6971,14.7402
13/01/2010,IND RUPEE,1.6516,1.6455,1.6576
13/01/2010,HONGKONG $,9.7387,9.7244,9.7531
13/01/2010,SINGAPORE $,54.3587,54.2422,54.4752
13/01/2010,SAUDI RIYAL,20.1413,20.1116,20.171
